,m,x,r,d,v,ns,n,zg,t,l,c,uj,ul,p,nz,f,a,nr,eng,nrt,vn,s,u,b,y,df,i,ad,nt,an,vq,ug,j,h,uz,g,q,ud,z,rr,ng,vg,uv,k,mq,o,ag,yg,e,nrfg,rz,vd,vi,tg,dg
ng,"(5, 14038)","(16, 30230)","(10, 17697)","(6, 13132)","(55, 42175)","(19, 13006)","(32, 40020)","(1, 795)","(2, 1894)","(1, 3134)","(5, 7805)","(2, 10574)","(1, 1329)","(5, 8822)","(5, 2422)","(1, 2458)","(7, 7169)","(6, 3570)","(2, 1585)","(3, 296)","(2, 1549)","(3, 849)","(4, 373)",,,,,,,,,,"(1, 564)",,,"(1, 80)","(2, 485)",,,,"(1, 196)",,,,,,"(1, 15)","(1, 8)",,,,,,,
vg,"(4, 14038)","(5, 30230)","(2, 17697)","(6, 13132)","(13, 42175)",,"(10, 40020)",,"(1, 1894)",,"(3, 7805)",,,,,,"(6, 7169)","(2, 3570)",,,"(2, 1549)",,"(3, 373)",,,,,"(1, 610)",,,,,,,,,,,,,"(2, 196)","(3, 58)",,,,,,,,,,,,,
uv,,"(2, 30230)","(1, 17697)","(7, 13132)","(8, 42175)",,"(5, 40020)",,,"(1, 3134)",,,,,"(1, 2422)",,"(12, 7169)",,,,"(1, 1549)",,"(5, 373)",,,,"(10, 747)",,,,,,,,,,,,"(1, 144)",,,,,,,"(1, 37)",,,,,,,,,
k,"(3, 14038)","(2, 30230)",,,"(8, 42175)","(1, 13006)","(70, 40020)",,"(1, 1894)","(4, 3134)",,,,,"(5, 2422)",,"(1, 7169)","(4, 3570)","(6, 1585)",,,,,,"(1, 455)",,,,,,,,"(1, 564)",,,,,,,,,,,,,,,,,,,,,,
mq,,"(14, 30230)","(2, 17697)","(4, 13132)","(8, 42175)","(2, 13006)","(4, 40020)",,,"(1, 3134)",,"(4, 10574)","(1, 1329)","(6, 8822)","(1, 2422)","(1, 2458)",,,,,,,,"(1, 796)",,,,,,,,"(1, 329)",,,,,"(1, 485)",,,,,,,,,,,,,,,,,,
o,,"(8, 30230)","(2, 17697)","(2, 13132)","(6, 42175)",,"(8, 40020)",,,,"(1, 7805)","(1, 10574)","(1, 1329)","(1, 8822)",,,,"(1, 3570)",,"(1, 296)",,"(1, 849)",,,"(3, 455)",,,,,,,"(1, 329)",,,,,,,,,,,,,,"(3, 37)",,,,,,,,,
ag,,"(2, 30230)","(1, 17697)",,"(4, 42175)",,"(2, 40020)",,,,"(1, 7805)","(1, 10574)",,,,"(2, 2458)",,"(1, 3570)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 15)",,,,,,,,
yg,,"(5, 30230)",,,"(1, 42175)",,"(1, 40020)",,,,,,,,,,,,,"(1, 296)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,,"(2, 30230)",,"(1, 13132)","(4, 42175)",,"(5, 40020)",,,"(1, 3134)",,"(2, 10574)",,"(2, 8822)",,,,,"(1, 1585)",,,,,,,,,,,,,,,,,,"(1, 485)",,,,,,,,,,,,,,,,,,
nrfg,,"(1, 30230)","(1, 17697)",,,,,,,,,,,"(1, 8822)",,"(1, 2458)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rz,,"(3, 30230)",,"(1, 13132)","(6, 42175)",,,,,,"(4, 7805)",,,,,"(1, 2458)",,"(1, 3570)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vd,,,,"(1, 13132)","(3, 42175)",,"(3, 40020)",,,,,,,"(1, 8822)",,,,,,,"(1, 1549)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vi,,,,,,,,,,,,,,,,"(1, 2458)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tg,,"(1, 30230)",,"(1, 13132)",,,"(1, 40020)",,"(1, 1894)",,,"(1, 10574)",,,,,,,,,,,"(1, 373)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dg,,,,"(1, 13132)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
